date,country,campaign_id,checkout_value,checkout_value_micro,checkouts,clicks,conversions,impressions,spend,spend_micro,date_range_start,date_range_end,CAMPAIGN_NAME,campaign_name,IMPRESSION_1
2025-09-03,US,626755902381,1090.0,1090000000.0,1.0,44.0,857.0,,118.678555,118678555.0,2025-09-03,2025-12-01,,TNT_CVR_Retargeting_Catalog,6922.0
2025-09-03,US,626755902620,,,,82.0,207.0,,51.022034,51022034.0,2025-09-03,2025-12-01,,TNT_AWR_Prospecting_Traffic,9842.0
2025-09-03,US,626755902689,890.0,890000000.0,1.0,106.0,504.0,,258.453689,258453689.0,2025-09-03,2025-12-01,,TNT_CVR_Prospecting_Catalog,17365.0
2025-09-04,US,626755902381,1980.0,1980000000.0,2.0,45.0,651.0,,96.296127,96296127.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,5935.0
2025-09-04,US,626755902620,,,,38.0,82.0,,20.089779,20089779.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,5246.0
2025-09-04,US,626755902689,,,,21.0,170.0,,28.973609,28973609.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3619.0
2025-09-05,US,626755902381,2800.0,2800000000.0,2.0,40.0,716.0,,98.974771,98974771.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,5576.0
2025-09-05,US,626755902620,,,,41.0,184.0,,18.945121,18945121.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,3996.0
2025-09-05,US,626755902689,,,,17.0,137.0,,29.12088,29120880.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3334.0
2025-09-06,US,626755902381,,,,47.0,727.0,,101.842723,101842723.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6622.0
2025-09-06,US,626755902620,,,,40.0,108.0,,18.482647,18482647.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,5380.0
2025-09-06,US,626755902689,,,,26.0,299.0,,30.326553,30326553.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3573.0
2025-09-07,US,626755902381,590.0,590000000.0,1.0,42.0,771.0,,101.721218,101721218.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6801.0
2025-09-07,US,626755902620,,,,41.0,107.0,,20.6,20600000.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,5860.0
2025-09-07,US,626755902689,,,,26.0,220.0,,30.439212,30439212.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3779.0
2025-09-08,US,626755902381,,,,35.0,498.0,,100.666213,100666213.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6551.0
2025-09-08,US,626755902620,,,,12.0,31.0,,13.988083,13988083.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,1822.0
2025-09-08,US,626755902689,,,,35.0,175.0,,30.824601,30824601.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,3837.0
2025-09-09,US,626755902381,,,,55.0,606.0,,93.562015,93562015.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,7055.0
2025-09-09,US,626755902620,,,,41.0,80.0,,21.714854,21714854.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,4549.0
2025-09-09,US,626755902689,290.0,290000000.0,1.0,44.0,160.0,,28.81823,28818230.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,4286.0
2025-09-10,US,626755902381,750.0,750000000.0,1.0,31.0,549.0,,99.445786,99445786.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6127.0
2025-09-10,US,626755902620,,,,40.0,161.0,,21.551992,21551992.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,3495.0
2025-09-10,US,626755902689,,,,28.0,253.0,,30.266668,30266668.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,4153.0
2025-09-11,US,626755902381,450.0,450000000.0,1.0,44.0,478.0,,100.714288,100714288.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,6377.0
2025-09-11,US,626755902620,,,,33.0,121.0,,21.336473,21336473.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,4639.0
2025-09-11,US,626755902689,,,,21.0,232.0,,23.011345,23011345.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,2668.0
2025-09-12,US,626755902381,,,,34.0,513.0,,102.950194,102950194.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,5692.0
2025-09-12,US,626755902620,,,,23.0,56.0,,21.016427,21016427.0,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,2797.0
2025-09-12,US,626755902689,,,,,8.0,,0.001901,1901.0,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,1.0
2025-09-13,US,626755902381,,,,,57.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,7.0
2025-09-13,US,626755902620,,,,,,,,,2025-09-04,2025-12-02,,TNT_AWR_Prospecting_Traffic,1.0
2025-09-13,US,626755902689,,,,,4.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-14,US,626755902381,,,,,32.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,
2025-09-14,US,626755902689,,,,,22.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-15,US,626755902381,,,,,3.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,
2025-09-15,US,626755902689,,,,,7.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-16,US,626755902381,,,,,22.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,
2025-09-16,US,626755902689,,,,,46.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-17,US,626755902689,,,,,2.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-18,US,626755902689,,,,,22.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-19,US,626755902689,,,,,19.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-20,US,626755902689,,,,,34.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-22,US,626755902689,,,,,31.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-23,US,626755902689,,,,,13.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-25,US,626755902689,,,,,6.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-26,US,626755902689,,,,,21.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-27,US,626755902689,,,,,1.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-28,US,626755902689,,,,,2.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-29,US,626755902689,,,,,5.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-09-30,US,626755902689,,,,,12.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-10-03,US,626755902689,,,,,6.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-10-04,US,626755902689,,,,,18.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-10-16,US,626755902689,,,,,8.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-11-02,US,626755902689,,,,,10.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Prospecting_Catalog,
2025-11-15,US,626755902381,,,,,1.0,,,,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,
2025-11-24,US,626755499613,,,,,,,0.201041,201041.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,19.0
2025-11-25,US,626755499613,,,,2.0,18.0,,1.861806,1861806.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,152.0
2025-11-25,US,626755902381,,,,4.0,315.0,,3.153637,3153637.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,482.0
2025-11-26,US,626755499613,,,,4.0,40.0,,25.976072,25976072.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,581.0
2025-11-26,US,626755902381,1680.0,1680000000.0,2.0,22.0,321.0,,26.782113,26782113.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,2688.0
2025-11-27,US,626755499613,,,,3.0,101.0,,121.112847,121112847.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,1506.0
2025-11-27,US,626755902381,690.0,690000000.0,1.0,31.0,407.0,,81.211852,81211852.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,7079.0
2025-11-28,US,626755499613,1940.0,1940000000.0,2.0,24.0,479.0,,375.0,375000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,4529.0
2025-11-28,US,626755902381,1670.0,1670000000.0,2.0,71.0,866.0,,125.0,125000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,10297.0
2025-11-29,US,626755499613,590.0,590000000.0,1.0,34.0,249.0,,375.0,375000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,5717.0
2025-11-29,US,626755902381,750.0,750000000.0,1.0,80.0,835.0,,125.0,125000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,14135.0
2025-11-30,US,626755499613,,,,25.0,210.0,,309.0,309000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,5889.0
2025-11-30,US,626755902381,450.0,450000000.0,1.0,83.0,825.0,,103.0,103000000.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,12587.0
2025-12-01,US,626755499613,,,,38.0,309.0,,291.669918,291669918.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,6393.0
2025-12-01,US,626755902381,,,,67.0,419.0,,91.59357,91593570.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,10044.0
2025-12-02,US,626755499613,,,,29.0,,,235.946905,235946905.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_SiteVisitors,5648.0
2025-12-02,US,626755902381,,,,50.0,,,84.692899,84692899.0,2025-09-04,2025-12-02,,TNT_CVR_Retargeting_Catalog,7815.0
